    PID USER     COMMAND
  54361 astolf   simplescreenrec
  59999 astolf   python
  59516 astolf   cpptools
  59895 astolf   zsh
  14676 astolf   firefox
  16461 astolf   RDD Process
  46878 astolf   java
  45172 astolf   Isolated Web Co
  54490 astolf   tracker-extract
  53777 astolf   WD-TabNine
  11743 astolf   pulseaudio
  11588 astolf   Xorg
  45467 astolf   code
  11763 astolf   gnome-shell
  54483 astolf   tracker-store
  44198 astolf   Isolated Web Co
  46645 astolf   Isolated Web Co
  57728 astolf   alacritty
  59569 astolf   zsh
   1166 mysql    mysqld
  46128 astolf   python
    540 root     irq/130-rtw88_p
  14064 astolf   jetbrains-toolb
  16603 astolf   Isolated Web Co
  45392 astolf   code
  45761 astolf   TabNine-deep-lo
  56811 astolf   designer
    941 root     NetworkManager
  45500 astolf   code
  45543 astolf   code
  45912 astolf   code
  53958 root     kworker/1:1-events
  11963 astolf   plank
  17347 astolf   Isolated Web Co
  44367 astolf   Isolated Web Co
  45569 astolf   code
  46121 astolf   code
      1 root     systemd
      2 root     kthreadd
      3 root     rcu_gp
      4 root     rcu_par_gp
      9 root     mm_percpu_wq
     10 root     rcu_tasks_rude_
     11 root     rcu_tasks_trace
     12 root     ksoftirqd/0
     13 root     rcu_sched
     14 root     migration/0
     15 root     idle_inject/0
     16 root     cpuhp/0
     17 root     cpuhp/1
     18 root     idle_inject/1
     19 root     migration/1
     20 root     ksoftirqd/1
     22 root     kworker/1:0H-events_highpri
     23 root     cpuhp/2
     24 root     idle_inject/2
     25 root     migration/2
     26 root     ksoftirqd/2
     28 root     kworker/2:0H-events_highpri
     29 root     cpuhp/3
     30 root     idle_inject/3
     31 root     migration/3
     32 root     ksoftirqd/3
     34 root     kworker/3:0H-events_highpri
     35 root     kdevtmpfs
     36 root     netns
     37 root     inet_frag_wq
     38 root     kauditd
     39 root     khungtaskd
     40 root     oom_reaper
     41 root     writeback
     42 root     kcompactd0
     43 root     ksmd
     44 root     khugepaged
     91 root     kintegrityd
     92 root     kblockd
     93 root     blkcg_punt_bio
     94 root     tpm_dev_wq
     95 root     ata_sff
     96 root     md
     97 root     edac-poller
     98 root     devfreq_wq
    100 root     watchdogd
    102 root     kworker/2:1H-events_highpri
    104 root     kswapd0
    105 root     ecryptfs-kthrea
    107 root     kthrotld
    108 root     irq/122-pciehp
    109 root     irq/123-aerdrv
    110 root     irq/124-aerdrv
    112 root     acpi_thermal_pm
    115 root     vfio-irqfd-clea
    116 root     mld
    117 root     ipv6_addrconf
    127 root     kstrp
    130 root     zswap-shrink
    138 root     charger_manager
    189 root     scsi_eh_0
    191 root     scsi_tmf_0
    192 root     scsi_eh_1
    193 root     scsi_tmf_1
    194 root     scsi_eh_2
    195 root     scsi_tmf_2
    199 root     kworker/1:1H-kblockd
    203 root     kworker/3:1H-kblockd
    232 root     jbd2/sda5-8
    233 root     ext4-rsv-conver
    278 root     systemd-journal
    301 root     ipmi-msghandler
    302 root     systemd-udevd
    306 root     loop0
    311 root     loop1
    319 root     loop2
    320 root     loop3
    326 root     loop4
    328 root     loop5
    330 root     loop6
    333 root     loop7
    352 root     loop8
    359 root     loop9
    360 root     loop10
    378 root     loop11
    389 root     loop12
    390 root     loop13
    392 root     loop14
    393 root     loop15
    394 root     loop16
    396 root     loop17
    400 root     irq/128-mei_me
    420 root     loop18
    434 root     cfg80211
    436 root     loop19
    450 root     loop20
    472 root     loop21
    487 root     loop22
    489 root     cryptd
    493 root     loop23
    500 root     loop24
    501 root     card0-crtc0
    502 root     card0-crtc1
    503 root     card0-crtc2
    512 root     loop25
    513 root     loop26
    531 root     loop27
    533 root     loop28
    535 root     loop29
    536 root     loop30
    537 root     loop31
    539 root     loop32
    542 root     loop33
    548 root     loop34
    558 root     loop35
    579 root     loop36
    606 root     loop37
    632 root     loop38
    658 root     loop39
    710 root     loop40
    847 systemd+ systemd-resolve
    850 systemd+ systemd-timesyn
    931 root     accounts-daemon
    932 root     acpid
    934 avahi    avahi-daemon
    936 root     bluetoothd
    937 root     cron
    940 message+ dbus-daemon
    950 root     irqbalance
    951 root     networkd-dispat
    954 root     polkitd
    959 syslog   rsyslogd
    963 root     snapd
    965 root     switcheroo-cont
    972 root     systemd-logind
    973 root     thermald
    975 root     udisksd
    978 root     wpa_supplicant
    980 avahi    avahi-daemon
   1028 root     multipassd
   1032 root     unattended-upgr
   1055 root     ModemManager
   1067 mosquit+ mosquitto
   1084 root     sshd
   1090 root     gdm3
   1158 postgres postgres
   1168 postgres postgres
   1169 postgres postgres
   1170 postgres postgres
   1171 postgres postgres
   1172 postgres postgres
   1173 postgres postgres
   1194 rtkit    rtkit-daemon
   1324 root     upowerd
   1407 whoopsie whoopsie
   1424 kernoops kerneloops
   1426 kernoops kerneloops
   1442 root     iprt-VBoxWQueue
   1448 root     iprt-VBoxTscThr
   1719 colord   colord
   1843 nobody   dnsmasq
   1854 root     bpfilter_umh
   1905 astolf   systemd
   1906 astolf   (sd-pam)
   1914 astolf   tracker-miner-f
   1917 astolf   dbus-daemon
   1929 astolf   gvfsd
   1945 astolf   gvfsd-fuse
   1953 astolf   gvfs-udisks2-vo
   1960 astolf   gvfs-goa-volume
   1964 astolf   goa-daemon
   1967 root     krfcommd
   1974 astolf   goa-identity-se
   1981 astolf   gvfs-gphoto2-vo
   1985 astolf   gvfs-afc-volume
   1990 astolf   gvfs-mtp-volume
   2246 astolf   xdg-desktop-por
   2250 astolf   xdg-document-po
   2253 astolf   xdg-permission-
   2264 astolf   at-spi-bus-laun
   2269 astolf   dbus-daemon
   2281 astolf   dconf-service
   4305 root     cupsd
   4306 root     cups-browsed
   8376 astolf   gvfsd-metadata
   8408 astolf   gvfsd-trash
  11573 root     gdm-session-wor
  11581 astolf   gnome-keyring-d
  11586 astolf   gdm-x-session
  11605 astolf   gnome-session-b
  11702 astolf   ssh-agent
  11742 astolf   gnome-session-c
  11750 astolf   gnome-session-b
  11792 astolf   ibus-daemon
  11796 astolf   ibus-dconf
  11797 astolf   ibus-extension-
  11801 astolf   ibus-x11
  11804 astolf   ibus-portal
  11815 astolf   at-spi2-registr
  11820 astolf   gnome-shell-cal
  11828 astolf   evolution-sourc
  11840 astolf   evolution-calen
  11850 astolf   evolution-addre
  11873 astolf   gjs
  11882 astolf   gsd-a11y-settin
  11884 astolf   gsd-color
  11885 astolf   gsd-datetime
  11887 astolf   gsd-housekeepin
  11888 astolf   gsd-keyboard
  11889 astolf   gsd-media-keys
